port,country,phone,email,website
"Brigus Bay, Canada",Canada,n/a,n/a,n/a
"Port Colborne, Canada",Canada,+1 905 6411932 ,mlo@seaway.ca,http://www.seaway.ca/en/
"Port of Chemainus, Canada",Canada,+1 250 2462682 ,n/a,n/a
"Cardinal, Canada",Canada,+1 613 9254228 ,dalleyr@portofprescott.com,http://www.portofprescott.com/
"Ste Anne Des Monts, Canada",Canada,n/a,n/a,n/a
"Wheatley Harbour, Canada",Canada,+1 519 825 4961 ,n/a,n/a
"Conne River Harbour, Canada",Canada,+1 709 882 2470 ,n/a,n/a
"Swims Point Harbour, Canada",Canada,+1 902 745 2232 ,n/a,n/a
"St. Bernard's Harbour, Canada",Canada,+1 709 461 2345 ,n/a,n/a
"Chester Harbor, Canada",Canada,n/a,n/a,n/a
"Port Moody, Canada",Canada,n/a,n/a,n/a
"Playgreen Lake, Canada",Canada,n/a,n/a,n/a
"Letang Harbor, Canada",Canada,n/a,n/a,n/a
"Cannings Cove Harbour, Canada",Canada,+1 709 467 5282 ,n/a,n/a
"Chance Harbour, Canada",Canada,n/a,n/a,n/a
"Quirpon Harbour, Canada",Canada,+1 709 623 2027 ,n/a,n/a
"South Bar Harbour , Canada",Canada,+1 902 564 4327 ,n/a,n/a
"Easterville Harbour, Canada",Canada,n/a,n/a,n/a
"Black Tickle Harbour, Canada",Canada,+1 709 471 8899 ,n/a,n/a
"Richardson Harbour, Canada",Canada,n/a,n/a,n/a
"Musgrave Harbour, Canada",Canada,+1 709 655 2249 ,n/a,n/a
"Ste-Marie-Surmer, Canada",Canada,+1 506 344 7892 ,bernard_70@hotmail.com,n/a
"Covehead Harbour, Canada",Canada,n/a,n/a,n/a
"Walton Harbor, Canada",Canada,n/a,n/a,n/a
"Maces Bay, Canada",Canada,n/a,n/a,n/a
"Riviere  Madeleine, Canada",Canada,+1 418 393 2436 ,guy_levesque@live.ca,n/a
"Isle Valen Harbour, Canada",Canada, +1 709 463 8896 ,haarnoldscove@nf.aibn.com,n/a
"Bush Island Harbour, Canada",Canada,+1 902 677 2491 ,n/a,n/a
"Change Islands Harbour, Canada",Canada, +1 709 621 6251 ,n/a,n/a
"Pleasant Bay Harbour, Canada",Canada,n/a,harbourauthorityofpbay@gmail.com,n/a
"St. Shotts Harbour, Canada",Canada,+1 709 438 2211 ,hastshotts@nf.aibn.com,n/a
"Fogo Harbour, Canada",Canada,+1 709  266 1090 ,hafogoisland@nf.aibn.com,n/a
"Port Alberni, Canada",Canada,+1 250 7235312 ,bfilipchuk.papa@portalberni.ca,http://www.portalberniportauthority.ca/
"Etang-Du-Nord (L'etang Du Nord), Canada",Canada,+1 418 986 6089 ,larsenault@mac.com,n/a
"Murphys Pond Harbour, Canada",Canada,+1 902  787 2058  ,n/a,n/a
"Fassett, Canada",Canada,n/a,n/a,n/a
"North Lake, Canada",Canada, +1 902 357 2308 ,n/a,n/a
"Gascons (Anse A La Barbe), Canada",Canada,+1 418 396 3041  ,danieldesbois@hotmail.com,n/a
"Roddickton, Canada",Canada,n/a,n/a,n/a
"Goose Bay, Canada",Canada,n/a,n/a,n/a
"Gorge Harbour, Canada",Canada,+1 250 935 6545 ,ravenso@oberon.ark.com,n/a
"Cheticamp Harbour (La Digue), Canada",Canada,+1 902 224 3009  ,harbour.authority@ns.aliantzinc.ca,n/a
"Raleigh Harbour, Canada",Canada,+1 709 452 2016 ,n/a,n/a
"Wolstenholme, Canada",Canada,n/a,n/a,n/a
"Smith Island, Canada",Canada,n/a,n/a,n/a
"Ste-Anne-des-Monts-Havre Polyvalent, Canada",Canada,+1 418 763 7252 ,havre52@globetrotter.net,n/a
"Thorold, Canada",Canada,+1 905 6411932 ,marketing@seaway.ca,http://www.seaway.ca/
"Mcbeth Point Harbor, Canada",Canada, +1 204 645 2117 ,n/a,n/a
"Tofino  (4th Street) - Floats, Canada",Canada,+1 250 725 4441 ,tofhar@island.net,n/a
"Shippegan Harbor, Canada",Canada,n/a,n/a,n/a
"Little Port, Canada",Canada,+1 709 681 2252 ,n/a,n/a
"Lark Harbour, Canada",Canada, +1 709 681 2252 ,n/a,n/a
"Bauline East  Harbour, Canada",Canada,+1 709 334 2098 ,n/a,n/a
"Mont-Louis Ouest  Harbour, Canada",Canada, +1 418 797 2954ext.2728 ,apmtlouis@globetrotter.net,n/a
"Joussard Harbour, Canada",Canada,+1 780 7763782 ,gordc@telusplanet.net,n/a
"Bay St. Lawrence Harbour, Canada",Canada,+1 902 383 2000 ,n/a,n/a
"Meldrum Bay, Canada",Canada,n/a,n/a,n/a
"Winter Harbour -Wharf and Floats, Canada",Canada,+1 250 969 4313 ,winterharbour@telus.net,http://www.winterharbour.ca/
"Liverpool Harbour, Canada",Canada,n/a,n/a,n/a
"Josephine's Cove (Barr'd Harbour), Canada",Canada,+1 709 847 4122 ,n/a,n/a
"Whitehaven Harbor, Canada",Canada,n/a,n/a,n/a
"Moretons Harbor, Canada",Canada,n/a,n/a,n/a
"East Ferry Harbour, Canada",Canada,n/a,n/a,n/a
"Livingstone Cove Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Bamberton, Canada",Canada,n/a,n/a,n/a
"Kimmirut (Lake Harbor), Canada",Canada,n/a,n/a,n/a
"French Creek Harbour, Canada",Canada,+1 250 248 5051 ,hafc@frenchcreekharbour.com,n/a
"Montague Harbour, Canada",Canada,n/a,n/a,n/a
"Saulnierville Harbour, Canada",Canada, +1 902 645 3151 ,n/a,n/a
"Sturgeon Harbor, Canada",Canada,n/a,n/a,n/a
"Miles Cove, Canada",Canada,+1 709 652 3455 ,m.morey@nf.sympatico.ca,n/a
"Paspebiac Harbor, Canada",Canada,n/a,n/a,n/a
"Pointe Noire, Canada",Canada,n/a,n/a,n/a
"Kinoosao Harbour, Canada",Canada,n/a,n/a,n/a
"Fox Point Harbour, Canada",Canada,+1 902 857 9403 ,n/a,n/a
"Lady Franklin Point, Canada",Canada,n/a,n/a,n/a
"Keels Harbour, Canada",Canada, +1 709  447 4561 ,n/a,n/a
"Port Mcneill, Canada",Canada,+1 250 956 3881 ,pmharbor@island.net,n/a
"Green Cove, Canada",Canada,n/a,n/a,n/a
"Renews Harbour, Canada",Canada,+1 709 363 2931 ,harenews@nf.sympatico.ca,n/a
"Ship Cove (Conception Bay), Canada",Canada,+1 709 786 8560 ,hapdg@persona.ca,n/a
"Dildo South Harbour , Canada",Canada,+1 709  582 1121 ,theresa.reid@hotmail.com,n/a
"Escuminac Harbour, Canada",Canada,+1 506 228 3338 ,n/a,n/a
"Ingonish Ferry (South Ingonish), Canada",Canada,+1 902 336 2235 ,nvspha@ns.aliantzinc.ca,n/a
"Jeddore Harbor, Canada",Canada,n/a,n/a,n/a
"Squirrel Cove Harbour, Canada",Canada,+1 250 935 6545 ,ravenso@oberon.ark.com,n/a
"Seldom Come By Harbour, Canada",Canada,+1 709 266 1090 ,hafogoisland@nf.aibn.com,n/a
"Port of Toronto, Canada",Canada,+1 416 8632000 ,gwilson@torontoport.com,http://www.torontoport.com/
"Port Kirwan Harbour, Canada",Canada,+1 709 363 2126 ,n/a,n/a
"Harmac Harbor, Canada",Canada,n/a,n/a,n/a
"Lunenburg Harbor, Canada",Canada,n/a,n/a,n/a
"Conception Harbour , Canada",Canada,+1 709 229 4643 ,charbour@nfld.com,n/a
"Burin Harbour, Canada",Canada,+1 709 891 1051 ,ha_burin@yahoo.ca,n/a
"Heart's Delight Harbour, Canada",Canada,+1 709 588 2658 ,cyrilc@eastlink.ca,n/a
"Pointe-aux-Loups, Canada",Canada,+1 418 937 6837 ,n/a,n/a
"Port Mcnicoll, Canada",Canada,+1 877 6787678 ,n/a,http://www.portmcnicoll.ca/
"Maricourt, Canada",Canada,n/a,n/a,n/a
"Port of Crofton, Canada",Canada,+1 250 246 4655 ,hbootsma@shaw.ca,n/a
"Hebron Harbor, Canada",Canada,n/a,n/a,n/a
"Pigeon-Hill  Harbour, Canada",Canada,+1 506 337 5387 ,n/a,n/a
"Takush Harbor, Canada",Canada,n/a,n/a,n/a
"Port Au Port, Canada",Canada,n/a,n/a,n/a
"Port of Argentia, Canada",Canada,+1 709 2275502 ,argentiainfo@argentia.ca,n/a
"Masson, Canada",Canada,n/a,n/a,n/a
"Port Williams, Canada",Canada,n/a,n/a,n/a
"Cupids Harbour, Canada",Canada,+1 709 528 1240 ,bishoprog@hotmail.com,n/a
"Netley Creek Harbour, Canada",Canada,+1 204 589 2302 ,n/a,n/a
"Nippers Harbour, Canada",Canada,+1 709 255 3105 ,n/a,n/a
"Bamfield West Harbour, Canada",Canada,+1 250 7283301 ,n/a,n/a
"Port of Collingwood, Canada",Canada,+1 705 4451030 ,mkeast@collingwood.ca,http://www.collingwood.ca/
"Abbots Harbour, Canada",Canada,n/a,n/a,n/a
"Mabou Harbour, Canada",Canada,n/a,n/a,n/a
"Saint Andrews East, Canada",Canada,n/a,n/a,n/a
"Quebec Harbour, Canada",Canada,+1 418 6802157 ,info@supplier.com,http://www.apqqha.com/
"Stanhope Harbour, Canada",Canada,n/a,n/a,n/a
"Port Wallace, Canada",Canada,n/a,n/a,n/a
"Rondeau (Erieau), Canada",Canada,+1 519 676 1115 ,n/a,n/a
"Milligans Shore, Canada",Canada,n/a,n/a,n/a
"New Bonaventure Harbour, Canada",Canada,+1 709 464 3730 ,n/a,n/a
"New Harbour (Guysborough County), Canada",Canada,+1 902 387 2152 ,n/a,n/a
"North Head -Fishermen's Wharf, Canada",Canada,+1 506 662 8482 ,n/a,n/a
"Point Edward, Canada",Canada,n/a,n/a,n/a
"Police Point, Canada",Canada,n/a,n/a,n/a
"Lower Lance Cove Harbour, Canada",Canada,+1 709 547 2251 ,n/a,n/a
"Venison Tickle, Canada",Canada,n/a,n/a,n/a
"Resolute Bay, Canada",Canada,n/a,n/a,n/a
"Heron Bay, Canada",Canada,n/a,n/a,n/a
"Stuart Town Harbour, Canada",Canada,n/a,n/a,n/a
"Gull Cove (Whitehead Island), Canada",Canada,+1 506 662 8482 ,n/a,n/a
"Cumberland, Canada",Canada,n/a,n/a,n/a
"Port Bayside Nb, Canada",Canada,+1 506 5293503 ,info@portofbayside.com,http://portofbayside.com/
"Catfish Creek Harbour, Canada",Canada,+1 204 276 2260 ,n/a,n/a
"Valleyfield Harbour, Canada",Canada,+1 709 536 5522 ,n/a,n/a
"Sunnyside Harbour, Canada",Canada,+1 709 472 4101 ,n/a,n/a
"Rigolet, Canada",Canada,n/a,n/a,n/a
"Lower Montague Harbour, Canada",Canada,n/a,n/a,n/a
"Bateau Harbor, Canada",Canada,n/a,n/a,n/a
"Head Harbour, Canada",Canada,+1 506 752 1107 ,n/a,n/a
"Forteau Harbour, Canada",Canada,+1 709 931 2201 ,n/a,n/a
"West Head Harbour, Canada",Canada,+1 902 745 3134 ,n/a,n/a
"Leonardville Harbour, Canada",Canada,n/a,n/a,n/a
"Berens River (Sigurdsson Island), Canada",Canada,+1 204 382 2571 ,n/a,n/a
"Victoria Harbor, Canada",Canada,n/a,n/a,n/a
"Lower Lakes Terminal, Canada",Canada,n/a,n/a,n/a
"Mink River Harbour, Canada",Canada,n/a,n/a,n/a
"Dennis Point Harbour (Lower West Pubnico), Canada",Canada,+1 902 762 3001 ,n/a,n/a
"Hay River Harbour, Canada",Canada,+1 780 926 1375 ,n/a,n/a
"Tysoe Point, Canada",Canada,n/a,n/a,n/a
"Shigawake Harbour, Canada",Canada,+1 418 752 7307 ,hashigawake@navigue.com,n/a
"Padloping Island, Canada",Canada,n/a,n/a,n/a
"Dorset Harbor, Canada",Canada,n/a,n/a,n/a
"Whonnock Harbour, Canada",Canada,+1 604 826 4414 ,missharb@telus.net,n/a
"Old Bonaventure Harbour, Canada",Canada,+1 709 464 3730 ,n/a,n/a
"Klemtu, Canada",Canada,n/a,n/a,n/a
"South East Bight Harbour, Canada",Canada,+1 709 463 0555 ,n/a,n/a
"Drum Head Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Clarkson, Canada",Canada,n/a,n/a,n/a
"Inoukjouac, Canada",Canada,n/a,n/a,n/a
"Port of Midland, Canada",Canada,+1 705 5264275 ,info@town.midland.on.ca,n/a
"Guysborough, Canada",Canada,n/a,n/a,n/a
"Port of Metro Vancouver, Canada",Canada,+1 604 665 9000  ,info@portmetrovancouver.com,http://www.portmetrovancouver.com/
"Eastern Passage Harbour, Canada",Canada,n/a,n/a,n/a
"Gananoque, Canada",Canada,n/a,n/a,n/a
"Little Harbour East, Canada",Canada,+1 709 465 2025 ,n/a,n/a
"Ingramport, Canada",Canada,n/a,n/a,n/a
" Forbes Point Harbour, Canada",Canada,n/a,n/a,n/a
"Fraser Mills, Canada",Canada,n/a,n/a,n/a
"Telegraph Harbour, Canada",Canada,n/a,n/a,n/a
"Queenston, Canada",Canada,n/a,n/a,n/a
"Pelee Island, Canada",Canada,n/a,n/a,n/a
"O'Donnells Harbour, Canada",Canada,+1 709 579 8777 ,n/a,n/a
"Fourche Harbor, Canada",Canada,n/a,n/a,n/a
"Foxtrap Harbour, Canada",Canada,+1 709 834 5231 ,hrauthority@nf.aibn.com,n/a
"Douglastown, Canada",Canada,n/a,n/a,n/a
"Papineauville, Canada",Canada,n/a,n/a,n/a
"Indian Harbor, Canada",Canada,n/a,n/a,n/a
"Long Cove Harbour, Canada",Canada,+1 709 592 2099 ,lydiansmith@yahoo.ca,n/a
"Port of Gold River, Canada",Canada,+1 250 2832202 ,villageofgoldriver@cablerocket.com,http://www.goldriver.ca/
" Cribbons Point Harbour, Canada",Canada,+1 902 863 3907  ,cribbonspoint@ns.aliantzinc.ca,n/a
"Petit-Cap Harbour, Canada",Canada,n/a,alventure@rogers.com,n/a
"Harbour Mille, Canada",Canada,+1 709 461 2459 ,n/a,n/a
"Lumsden Harbour, Canada",Canada,+1 709 530 2406 ,n/a,n/a
"Codroy Harbour, Canada",Canada,+1 709 955 2287 ,stewart.young@sunweb.ca,n/a
"Whiskey Slough  Harbour, Canada",Canada,+1 604 883 2234 ,jibar@telus.net,n/a
"Meaford, Canada",Canada,n/a,n/a,n/a
"South River (Murray Harbour), Canada",Canada,n/a,n/a,n/a
"Alberton Harbour (Northport), Canada",Canada, +1 902 853 2575 ,n/a,n/a
"Petit De Grat Harbour, Canada",Canada,+1 902 623 1670 ,harbourmanager@yahoo.ca,n/a
"Port of Lewisporte, Canada",Canada,+1 709 5352737 ,info@lewisportecanada.com,http://www.lewisportecanada.com/
"Port of Kingsville, Canada",Canada,+1 519 7332305 ,n/a,n/a
"Seacow Pond, Canada",Canada,n/a,n/a,n/a
"Cow Head Harbour, Canada",Canada,+1 709 243 7222 ,n/a,n/a
"Isaacs Harbor, Canada",Canada,n/a,n/a,n/a
"Pearce Point Harbour, Canada",Canada,n/a,n/a,n/a
"Ottawa, Canada",Canada,n/a,n/a,n/a
"Conche Harbour, Canada",Canada,+1 709  622 4531 ,n/a,n/a
"Parry Sound Harbour, Canada",Canada,+1 705 7462101 ,mayor@townofparrysound.com,n/a
"Sept Iles, Canada",Canada,+1 418 9681231 ,pgagnon@portsi.com,http://www.portsi.com/
"Rimouski Harbor, Canada",Canada,n/a,n/a,n/a
"Grand Etang Harbour, Canada",Canada, +1 902 224 1564 ,n/a,n/a
"Grand Le Pierre Harbour, Canada",Canada,+1 709 662 2096 ,n/a,n/a
"Lund Harbour, Canada",Canada,+1 604 483 4711 ,neilg@armourtech.com,n/a
"Ucluelet West Harbour, Canada",Canada,+1 250 726 4241 ,info@dist.ucluelet.bc.ca,n/a
"Pine Dock (Little Bullhead Post Office), Canada",Canada,+1 204 276 2064 ,n/a,n/a
"Burnt Church Harbour, Canada",Canada,+1 506 776 3278 ,n/a,n/a
"Port of Butedale, Canada",Canada,n/a,n/a,n/a
"Admirals Beach Haubour, Canada",Canada,+ 709 521 2283 ,n/a,n/a
"Ucluelet (Otter Street) Harbour, Canada",Canada, +1 250 726 4241 ,info@dist.ucluelet.bc.ca,n/a
"Nain, Canada",Canada,+1 709 922 2865 ,n/a,n/a
"Port Elgin, Canada",Canada,n/a,n/a,n/a
"Port Maitland, Canada",Canada,n/a,n/a,n/a
"New Haven Harbour, Canada",Canada,+1 902 336 2235 ,nvspha@ns.aliantzinc.ca,n/a
"Sonora Harbor, Canada",Canada,n/a,n/a,n/a
"Bruce Mines Harbour, Canada",Canada,n/a,n/a,n/a
"Tadoussac Harbor, Canada",Canada,n/a,n/a,n/a
"Les Esmoumins Harbour (Basques), Canada",Canada,+1 418 233 2509 ,pleonard@essipit.com,n/a
"Degnen Bay Harbour, Canada",Canada,+1 250 247 0122 ,n/a,n/a
"Loggiecroft (Kouchibouguac) Harbour, Canada",Canada,+1 506 876 4950 ,n/a,n/a
"Abrahams Cove Harbour, Canada",Canada,+1 709 644 2308 ,n/a,n/a
"Battery Point Harbour (Victoria Beach), Canada",Canada,n/a,n/a,n/a
"Grande-Anse, Canada",Canada,n/a,n/a,n/a
"Port of Pugwash, Canada",Canada,+1 902 243139 ,n/a,n/a
"Cape Broyle Harbour, Canada",Canada,+1 709 432 2200 ,n/a,n/a
"Port of Bergh Cove, Canada",Canada,n/a,n/a,n/a
"Rose Blanche Harbour, Canada",Canada,+1 709 956 2423 ,n/a,n/a
"Grande-Rivière-Havre, Canada",Canada,+1 418 385 2601 ,lanouche@globetrotter.net,n/a
"St. Phillip's Harbour, Canada",Canada,+1 709 728 5222 ,n/a,n/a
"Barre De Cocagne (Cormierville), Canada",Canada,+1 506 576 9762 ,n/a,n/a
"Grosse-Ile (Cap Du Dauphin), Canada",Canada,+1 418 985 2298 ,amandagoodwin@ilesdelamadeleine.ca,n/a
"Sibleys Cove Harbour, Canada",Canada,+1 709 586 2390 ,n/a,n/a
"Trinity Harbor, Canada",Canada,n/a,n/a,n/a
"Miminegash Harbour, Canada",Canada,n/a,n/a,n/a
"Pelee I North Wharf, Canada",Canada,n/a,n/a,n/a
"Nine Mile Creek Harbour, Canada",Canada,n/a,n/a,n/a
"Louisbourg Harbor, Canada",Canada,n/a,n/a,n/a
"Malloch Beach , Canada",Canada,+1 506 752 9804 ,capnriddle@yahoo.ca,n/a
"Greenspond Harbour, Canada",Canada,+1 709 269 4331 ,n/a,n/a
"Whycocomagh Harbor, Canada",Canada,n/a,n/a,n/a
"Kliktsoatli Harbor, Canada",Canada,n/a,n/a,n/a
"Bridgeport Harbour, Canada",Canada,+1 709 661 5117 ,n/a,n/a
"Port Dalhousie, Canada",Canada,+1 905 9374783 ,info@portdalhousie.com,http://www.portdalhousie.com/
"Woodwards Cove Harbour, Canada",Canada,+1 506 662 8482 ,n/a,n/a
"Westport Cove, Canada",Canada,n/a,n/a,n/a
"Riverhead  Harbour, Canada",Canada,+1 709 525 2303 ,n/a,n/a
"Griquet Harbour, Canada",Canada,+1 709 623 2009 ,n/a,n/a
"Paulatuk, Canada",Canada,n/a,n/a,n/a
"Harbour Round, Canada",Canada,+1 709 661 7968 ,n/a,n/a
"Vaudreuil, Canada",Canada,n/a,n/a,n/a
"Port of Sydney, Canada",Canada,+1 902 5640800 ,info@sydneyport.ca,http://www.portofsydney.ca/
"Sackville, Canada",Canada,n/a,n/a,n/a
"North Galiano Harbour, Canada",Canada,+1 250 539 5420 ,n/a,n/a
"North Rustico  Harbour, Canada",Canada,n/a,n/a,n/a
"Green Island Brook Harbour, Canada",Canada,+1 709 475 5181 ,n/a,n/a
"Rocky Harbour, Canada",Canada,+1 709 458 3074 ,harbourauthority2003@yahoo.ca,n/a
"Anse Bleue Harbour, Canada",Canada,+1 506 732 5801 ,n/a,n/a
"Piccadilly Harbour, Canada",Canada,+1 709 644 2308 ,n/a,n/a
"Riviere-au-Renard, Canada",Canada, +1 418 269 7701 ,n/a,n/a
"Vesuvius Bay, Canada",Canada,+1 250 537 5711 ,ssha@saltspring.com,n/a
"Pilleys Island Harbor, Canada",Canada,n/a,n/a,n/a
"Port of Squamish, Canada",Canada,+1 604 8923511 ,info@sqterminals.com,http://www.sqterminals.com/
"Fox Harbour, Canada",Canada,+1 709 227 3654 ,n/a,n/a
"Hunts Point Harbour , Canada",Canada,+1 902 227 7053 ,n/a,n/a
"Advocate Harbour, Canada",Canada,n/a,n/a,n/a
"Forresters Point Harbour, Canada",Canada,+1 709 877 2225 ,n/a,n/a
"Port of Richibucto, Canada",Canada,+1 506 5239541 ,n/a,n/a
"Islington Harbour, Canada",Canada,+1 709 588 2658 ,cyrilc@eastlink.ca,n/a
"Bear Point Harbour, Canada",Canada,n/a,n/a,n/a
"Shoe Cove Harbour, Canada",Canada,+1 709 675 2506 ,n/a,n/a
"Port North Fraser, Canada",Canada,+1 604 6659000  ,info@portmetrovancouver.com,http://www.portmetrovancouver.com/
"Port Hope, Canada",Canada,+1 905 8854544 ,admin@porthope.ca,http://www.porthope.ca/
"Harbor Grace, Canada",Canada,n/a,n/a,n/a
"Carmanville Harbour , Canada",Canada,+1 709 534 2300 ,hacarmanville@nf.aibn.com,n/a
"Cloridorme  Harbour, Canada",Canada,+1 418 395 2372 ,n/a,n/a
"Bayfield Harbour (Pomquet Point), Canada",Canada,n/a,bayfieldha@hotmail.com,n/a
"Clarks Harbour, Canada",Canada,+1 902 745 2232 ,n/a,n/a
"Gimli Harbour, Canada",Canada,+1 204 642 8472 ,n/a,n/a
"Chevery (Riviere Cross) Rampe De Lancement, Canada",Canada,+1 418 787 2041 ,alexandredumas@globetrotter.net,n/a
"Seal Cove (Connaigre Bay) Harbour, Canada",Canada,+1 709 851 4120 ,loveless596@hotmail.com,n/a
"Heriot Bay, Canada",Canada,+1 250 285 3622 ,qiha@island.net,n/a
"Les Méchins -Quai Des Pecheurs Harbour, Canada",Canada,+1 418 729 3815 ,admportmechins@globetrotter.net,n/a
"Fermeuse Harbour, Canada",Canada,n/a,n/a,n/a
"Pouch Cove Harbour, Canada",Canada,+1 709 682 2302 ,n/a,n/a
"Courtenay-Slough Harbour, Canada",Canada,+1 250 339 6041 ,info@comoxfishermanswharf.com,http://www.comoxfishermanswharf.com/
"Black Duck Brook Harbour, Canada",Canada,+1 709 648 2151 ,jb.collier@nf.sympatico.ca,n/a
"Larrys River Harbour, Canada",Canada,+1 902 525 2106 ,n/a,n/a
"Walpole Island, Canada",Canada,n/a,n/a,n/a
"Seal Cove (White Bay), Canada",Canada,+1 709 531 2041 ,n/a,n/a
"Comox Harbour, Canada",Canada,+1 250 339 6041 ,info@comoxfishermanswharf.com,http://www.comoxfishermanswharf.com
"Montebello, Canada",Canada,n/a,n/a,n/a
"Yarmouth Bar Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Carillon , Canada",Canada,n/a,n/a,n/a
"Port of Come By Chance, Canada",Canada,n/a,n/a,n/a
"Port Clements, Canada",Canada,+1 250 557 4295 ,portclem@qcislands.net,n/a
"Grand Narrows, Canada",Canada,n/a,n/a,n/a
"Grenville, Canada",Canada,n/a,n/a,n/a
"Canaport LNG terminal, Canada",Canada,n/a,n/a,n/a
"Tiverton -Fishermen's Wharf Harbour, Canada",Canada,+1 902 839 2084 ,n/a,n/a
"Port of Shediac, Canada",Canada,n/a,n/a,n/a
"Wreck Cove Harbour, Canada",Canada,+1 709 887 6211 ,n/a,n/a
"Wilsons  Beach, Canada",Canada,+1 506 752 9804 ,capnriddle@yahoo.ca,n/a
"McEachern's Point (Wishart Point), Canada",Canada,+1 506 395 8655  ,n/a,n/a
"Burnt Islands, Canada",Canada, +1 709 698 3562ext.2492 ,bernadetteltaylor@hotmail.com,n/a
"Burgeo Harbour, Canada",Canada,+1 709 886 2343 ,june@nfld.com,n/a
"Coppermine Harbour, Canada",Canada,n/a,n/a,n/a
"Bragg's Island, Canada",Canada,+1 709 537 5608 ,n/a,n/a
"Peggys Cove Harbour, Canada",Canada,+1 902 823 2561 ,n/a,n/a
"Wabana Harbor, Canada",Canada,n/a,n/a,n/a
"Port of Port Cartier, Canada",Canada,+1 418 7662000 ,port@qcmines.com,n/a
"Egmont Harbour, Canada",Canada,+1 604-883-0089 ,danaangus@lincsat.com,n/a
"Chockpish Harbour, Canada",Canada,+1 506 743 2790 ,n/a,n/a
"Port of Digby, Canada",Canada,+1 902 2452437 ,n/a,http://www.portofdigby.ns.ca/
"Port of Port Alice, Canada",Canada,+1 604 2847745 ,n/a,n/a
"Ganges Harbour (Inner Harbour), Canada",Canada,+1 250 537 5711 ,ssha@saltspring.com,n/a
"Rencontre East Harbour, Canada",Canada,+1 709 848 4112 ,wjhardy@hotmail.com,n/a
"Saltery Bay Harbour, Canada",Canada,+1 604 487 0663ext.0196 ,n/a,n/a
"Brent's Cove Harbour, Canada",Canada,+1 709 661 5117 ,n/a,n/a
"Tofino (Armitage Point), Canada",Canada,+1 250 725 4441 ,tofhar@island.net,n/a
"Machons Point Harbour, Canada",Canada,n/a,s.t.macleod@pei.sympatico.ca,n/a
"North Harbour (Placentia Bay) , Canada",Canada,+1 709 549 2237 ,n/a,n/a
"La Tabatière - Section Des Peche, Canada",Canada,+1 418 773 2485 ,garrybuffitt@globetrotter.net,n/a
"New London, Canada",Canada,+1 902 436 3293 ,n/a,n/a
"Freeport Harbour (South Cove) , Canada",Canada,+1 902 839 2103 ,freeportwhale@gmail.com,n/a
"Port of Baie Verte, Canada",Canada,n/a,n/a,n/a
"Blue Beach Harbour, Canada",Canada,+1 709 642 5946 ,n/a,n/a
"Beach Point , Canada",Canada,+1 902 962 2626 ,n/a,n/a
"Cap-Chat -Nouveau Havre, Canada",Canada,+1 418 786 5739 ,jguyvallee@globetrotter.net,n/a
"Champney's West Harbour, Canada",Canada,+1 709  464 3439 ,n/a,n/a
"Malpeque Cove , Canada",Canada,n/a,n/a,n/a
"Port Medway, Canada",Canada,+1 902 350 0900 ,n/a,n/a
"Bernard Harbor, Canada",Canada,n/a,n/a,n/a
"Port of Baie Comeau, Canada",Canada,n/a,n/a,n/a
"Hudson, Canada",Canada,n/a,n/a,n/a
"Summerside Harbor, Canada",Canada,n/a,n/a,n/a
"Sandy Cove East, Canada",Canada,n/a,n/a,n/a
"Matane Harbor, Canada",Canada,+1 418 562 9785 ,arsenar@globetrotter.net,n/a
"Sandyville (Dawson's Cove) Harbour, Canada",Canada,+1 709 883 2372 ,dshort@comnf.credit.net,n/a
"Beaver Cove, Canada",Canada,n/a,n/a,n/a
"Kagawong Marina, Canada",Canada,+1 705 2823330 ,n/a,n/a
"Wood Islands Harbour, Canada",Canada, +1 902 962 3228 ,kipsmithpei@yahoo.ca,n/a
"Clayoquot Harbour, Canada",Canada,n/a,n/a,n/a
"Port of Kitimat, Canada",Canada,+1 250 6328900 ,n/a,n/a
"Green Island Cove Harbour, Canada",Canada,+1 709 475 5441 ,n/a,n/a
"Gatineau, Canada",Canada,n/a,n/a,n/a
"Summerford Harbour, Canada",Canada,+1 709 629 3721 ,h.anstey@hotmail.com,n/a
"McIvor's Landing (Langley), Canada",Canada,+1 604 888 7404 ,fortstudio@shaw.ca,n/a
"Port of Havre Aubert, Canada",Canada,+1 418 986 5495 ,n/a,n/a
"Port of St. John's, Canada",Canada,+1 709 738 4782 ,info@sjpa.com,http://www.sjpa.com/
"Bay Bulls Harbour, Canada",Canada,+1 709 334 1119 ,donalddrew@nf.sympatico.ca,n/a
"Kanaka(Haney)-Landing Harbour, Canada",Canada,+1 604 463 5255 ,derekkreuger@hotmail.com,n/a
"Hant's Harbour, Canada",Canada,+1 709  586 2370ext.2841 ,rhodabailey@live.ca,n/a
"Lamaline Harbour, Canada",Canada,+1 709 857 2230 ,maureenfleming1@gmail.com,n/a
"Port of Coatzacoalcos, Mexico",Mexico,+52 921 2110270 ,dirgral@puertocoatzacoalcos.com.mx,http://www.apicoatza.com/
"Cayo Arcas Terminal, Mexico",Mexico,+52 938 382500 ,n/a,n/a
